nama_hotel,alamat_hotel,jenis_kamar,total_kamar_tersedia
Hotel Borobudur Yogyakarta,"<span itemprop=""address"">Jl. Magelang Km. 6,3 Jombor, Sleman, Yogyakarta, Indonesia</span>",3,3
EDU Hostel Jogja,"<span itemprop=""address"">Jl. Letjen Suprapto No.17, Ngampilan, Wirobrajan, Yogyakarta, Indonesia</span>",2,6
Grage Jogja Hotel Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No. 242, Malioboro, Yogyakarta, Indonesia</span>",3,12
Grand Mercure Yogyakarta Adisucipto,"<span itemprop=""address"">Jl. Laksda Adisucipto No.80, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281</span>",20,20
The Cabin Tanjung Hostel Yogyakarta,"<span itemprop=""address"">Jl. Prof. Herman Yohanes No.117 A, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",6,24
Rosalia Indah Hotel,"<span itemprop=""address"">Jl. Veteran No. 180A, Umbulharjo, Yogyakarta, Indonesia</span>",1,1
Hotel di Jogja,,0,0
Swiss-Belboutique Yogyakarta,"<span itemprop=""address"">Jl. Jend. Sudirman No.69, Yogyakarta, Indonesia</span>",9,9
Adhisthana Hotel,"<span itemprop=""address"">Jl. Prawirotaman II No.613, Mergangsan, Yogyakarta, Indonesia</span>",14,56
Le Krasak Boutique Hotel Malioboro,"<span itemprop=""address"">Jl. Krasak No.9, Kota Baru, Tugu Jogja, Yogyakarta, Indonesia</span>",3,9
Tickle Hotel,"<span itemprop=""address"">Jl. Urip Soemoharjo No. 64 </span>",4,4
Comfort Room at Griya Suryantin,"<span itemprop=""address"">Sinduharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta </span>",1,1
Maranatha Grand Hotel Yogyakarta,"<span itemprop=""address"">Jalan Dagen Nomor 76 Yogyakarta</span>",1,1
Kona Backpacker Syariah,"<span itemprop=""address"">jalan wijaya kusuma no 140, Condong Catur, Sleman</span>",1,4
Griya Desa Hotel & Pool,"<span itemprop=""address"">Jl.Padma No.1A, Belakang Hotel Hyatt, Yogyakarta</span>",8,16
Agung Inn,"<span itemprop=""address"">Jl. Prawirotaman I No. 30, Yogyakarta, Indonesia</span>",1,3
La Luna Resort Yogyakarta,"<span itemprop=""address"">Jl. Palagan Km 8, Sariharjo, Ngaglik, Ngaglik, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",1,1
Summer Quest Hotel Jogja,"<span itemprop=""address"">Jl. Sosrowijayan, Gang Sosromenjuran, Yogyakarta, Indonesia</span>",1,1
Urban Fendi's Tirtodipuran,"<span itemprop=""address"">Jl. Tirtodipuran No.6, Mantrijeron, Yogyakarta, Indonesia</span>",3,12
Hotel Orchid Wonosari,"<span itemprop=""address"">Jl. Baron KM. 9 Mulo Karang Asem, Wonosari, Gunung Kidul, Yogyakarta, Indonesia</span>",2,8
Otu Hostel By Ostic House,"<span itemprop=""address"">Jl. Prawirotaman 1 Gang Batik Gringsing No. 517, Mergangsan, Yogyakarta, Indonesia</span>",1,2
Artotel Yogyakarta,"<span itemprop=""address"">Jl. Kaliurang, KM 5.6 No. 14, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta, Indonesia</span>",4,4
The Mangkoro by Yuwono Hospitality,"<span itemprop=""address"">Jl. Garuda no. 419, Jaranan, Banguntapan, Bantul, Yogyakarta, Indonesia</span>",2,8
Hotel Arjuna Malioboro,"<span itemprop=""address"">Jl. Pangeran Mangkubumi No.44, Tugu Jogja, Yogyakarta, Indonesia</span>",2,8
OYO 1369 Griya Damai Syariah,"<span itemprop=""address"">Jl.Sunan Ampel III, Banteng, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia, Yogyakarta</span>",4,4
Cakra Kusuma Hotel,"<span itemprop=""address"">Jl. Kaliurang KM 5.2 No.25, Yogyakarta, Indonesia</span>",14,14
Hotel Atalie Malioboro by Yuwono,"<span itemprop=""address"">Jl. Sosrokusuman DN.1/118 Malioboro, Malioboro Street, Yogyakarta, Yogyakarta Province, Indonesia</span>",3,9
Asana Grove Hotel Yogyakarta,"<span itemprop=""address"">Jl. Ganesha II No.53, Timoho, Umbulharjo, Yogyakarta, Indonesia</span>",1,1
Comfort Room at Lumintu Guest House,"<span itemprop=""address"">Depan SPBU Glagah, Sangkretan, Glagah, Temon, Kulon Progo, Daerah Istimewa Yogyakarta</span>",2,6
Zamrud Malioboro,"<span itemprop=""address"">Jl. Tegal Panggung No. 50, Danurejan, Yogyakarta, Indonesia</span>",2,2
Apartment Jowo Klutuk 2,"<span itemprop=""address"">Apartment Malioboro City, Jalan Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Depok, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman</span>",1,1
Hotel Batik Yogyakarta,"<span itemprop=""address"">Jl.Dagen Komplek Taman Yuwono,Malioboro-Yogyakarta</span>",3,9
Ostic House,"<span itemprop=""address"">Jl. Suryodiningratan, No.10 B, Suryodiningratan, Mantrijeron, Daerah Istimewa Yogyakarta, Indonesia</span>",3,6
SPOT ON 2419 Rumah Nugraha Hotel Syariah,"<span itemprop=""address"">Jl. Ki Ageng Pemanahan Ki Ageng Pemanahan No.9, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",8,8
Hotel Heryon,"<span itemprop=""address"">Jl. Menteri Supeno No. 28D, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",2,6
Comfort Room near Stasiun Lempuyangan at Wisma Bu Yanti 1,"<span itemprop=""address"">Jalan Bausasran DN 3/791</span>",4,8
DBC Rooms Malioboro,"<span itemprop=""address"">Jalan Beskalan, no 1, Malioboro, Yogyakarta (Ayam Geprek DBC, Samping Ramai)</span>",1,3
Hotel di Jogja,,0,0
The Grand Cabin Hotel,"<span itemprop=""address"">Jl. Magelang No. 55, Kricak, Tegalrejo, Kota Yogyakarta, Indonesia</span>",6,12
Peti Mas Hotel,"<span itemprop=""address"">Jalan Dagen No 27</span>",5,5
Front One Resort Jogja,"<span itemprop=""address"">Jl. Ring Road Utara No. 168 , Sleman, Yogyakarta, Indonesia</span>",1,2
Budget Room near Stasiun Tugu at Losmen Mawar,"<span itemprop=""address"">Sosrowijayan Wetan GT 1/136</span>",4,12
Pondok Bugenvil 2,"<span itemprop=""address"">Jln. Gambir No. 18, Klebengan, Caturtunggal, Depok, Sleman (200 M utara Fakultas Peternakan UGM)</span>",1,1
Blue Safir Hotel Yogyakarta,"<span itemprop=""address"">Jl. Dagen No. 18-22, Malioboro, Yogyakarta, Indonesia</span>",2,2
Tigalima Homestay,"<span itemprop=""address"">Jl. Gejayan, Kepuh GK III/946</span>",3,3
Sartika Hotel Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman No 44, Mergangsan, Yogyakarta, Indonesia</span>",4,12
Balai Melayu Hotel,"<span itemprop=""address"">Jl.Gambiran No.85, Yogyakarta</span>",1,3
Omah Njonja Bed & Brasserie,"<span itemprop=""address"">Jl. Sawit Sari M1 Condongcatur, Depok, Sleman, Yogykarta 55281, Indonesia</span>",5,15
Hotel Alzara Syariah,"<span itemprop=""address"">Bansari RT 02 RW 04, Kelurahan Kepek, Wonosari, Gunungkidul, Daerah Istimewa Yogyakarta, Indonesia</span>",16,32
D'Talent Hotel,"<span itemprop=""address"">Located in D'Talent Hotel, Jl. Prawirotaman 3 No.669 A, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153, Indonesia</span>",17,17
Janti Transit Room Syariah,"<span itemprop=""address"">Gang Delima III No. 3, Ngentak, Kel Caturtunggal, Kec Depok, Catur Tunggal</span>",1,4
105 Homestay Malioboro Jogja,"<span itemprop=""address"">Sosrowijayan Wetan GT 1/105 RT&gt;RW 07.02, Jl. Malioboro, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",1,2
Comfy Guesthouse 2 Yogyakarta,"<span itemprop=""address"">Jl. Prof Dr. Sardjito No 14 B, Jetisharjo</span>",1,1
Shamrock Jogja Vivo Apartment,"<span itemprop=""address"">Jl. Seturan, Caturtunggal, Yogyakarta, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",2,4
Hotel Sagan Huis,"<span itemprop=""address"">Jl. Sagan Kidul No.6, Yogyakarta</span>",2,6
Wayang BnB,"<span itemprop=""address"">Jl. Blunyah Rejo TR II No.668, Karangwaru, Tegalrejo, Yogyakarta, DI Yogyakarta, Indonesia</span>",2,4
Jogja Village,"<span itemprop=""address"">Jl. Menukan, No.5, Karangkajen, Yogyakarta, Indonesia</span>",3,6
Ndalem Diajeng Homestay,"<span itemprop=""address"">Jl. Namburan Lor No. 50, Kraton, Yogyakarta, Indonesia</span>",3,12
OYO 90253 D'helomi,"<span itemprop=""address"">Ringinsari RT 6/RW 50</span>",2,4
Prime Plaza Hotel Jogjakarta,"<span itemprop=""address"">Jl. H. Affandi, Gejayan, Complex Colombo, Yogyakarta</span>",8,24
Amaya Suites Hotel,"<span itemprop=""address"">Jalan Pogung Kidul No.181, Sinduadi, Mlati,, Mlati, Yogyakarta, Yogyakarta Province, Indonesia</span>",1,1
Hotel Syariah Wisma Nendra,"<span itemprop=""address"">Jl. Dagen No.50, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Indonesia</span>",1,2
Bedjo Homestay by Dasinem,"<span itemprop=""address"">Jl. Selokan Mataram Pogung Dalangan No.299 Sinduadi Mlati Sleman</span>",2,4
Tembi Rumah Budaya,"<span itemprop=""address"">Jl. Parang Tritis Km.8,4 Timbulharjo, Sewon, Yogyakarta</span>",1,3
Comfort Room at Grhatama,"<span itemprop=""address"">Jl. Pandega Siwi No 5</span>",1,4
Griya Mulya,"<span itemprop=""address"">Jl. Nusa Indah CT 8 No. 136, Manggung, Catur Tunggal, Kec. Depok, Yogyakarta, Indonesia</span>",3,6
The Journey Hotel Yogyakarta,"<span itemprop=""address"">Jl. Sorosutan 2E, Umbulharjo, Umbulharjo, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",3,6
Abhayagiri – SWH Resort,"<span itemprop=""address"">Dusun Sumberwatu, RT 02 RW 01, Sambirejo, Prambanan</span>",2,6
Hotel di Jogja,,0,0
Hotel New Saphir Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto No.38, Gondokusuman, Yogyakarta, Indonesia</span>",10,10
Studio Room at Vivo Apartment,"<span itemprop=""address"">Jl Amarta no 1 kledokan caturtunggal depok sleman Yogyakarta</span>",1,4
Sky Hotel Jogja,"<span itemprop=""address"">Jl. Hayam Wuruk No. 51, Lempuyangan, Danurejan, Yogyakarta, Indonesia</span>",1,2
OYO 1593 Pondok Garini Syariah,"<span itemprop=""address"">Gg. Pandega Rini II No.09, Manggung, Caturtunggal, Kec. Depok</span>",12,12
BOAX 15 Studio Room at Vivo Apartment,"<span itemprop=""address"">Jl. Seturan, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta </span>",1,2
Ndalem Bebekan Guesthouse by Symphony,"<span itemprop=""address"">Bedilan, Kalitirto, Berbah, Sleman, DI Yogyakarta, Indonesia</span>",1,3
Cornel Homestay Pavilions & Rooms,"<span itemprop=""address"">Jl. Cempaka No 146, Condongcatur, Depok, Sleman</span>",3,12
Tentrem Ayem Residence,"<span itemprop=""address"">Jl. Ahmad Wahid, Mantup, Baturetno, Banguntapan, Yogyakarta </span>",3,9
Cotton House Monjali,"<span itemprop=""address"">Jl. Kapas 99, Sariharjo,Ngaglik, Sleman </span>",5,15
Flamboyan Suites,"<span itemprop=""address"">Jln. Flamboyan No. 41, Karang Asem Baru, Caturtunggal, Depok, Sleman</span>",1,1
Taman Yuwono Heritage Malioboro,"<span itemprop=""address"">Komplek Taman Yuwono No. 11, Sosromenduran, Gedongtengen , Yogyakarta, Indonesia</span>",4,12
Golom Alpha Room by Vivo Apartment,"<span itemprop=""address"">Jl. Amarta, Kledokan, Caturtunggal</span>",1,4
Akasa Hotel Kaliurang Yogyakarta,"<span itemprop=""address"">Jl. Boyong RT.002 RW.017 No.10, Kaliurang Barat, Kaliurang, Yogyakarta, Indonesia</span>",4,12
Pondok Villa Hotel,"<span itemprop=""address"">Jl. IKIP PGRI 113, Yogyakarta</span>",2,6
Eco Room near Tugu at Griya Godean Syariah,"<span itemprop=""address"">Jl Godean Km 4 No 10, Kajo</span>",1,1
Omah Bumi Guest House,"<span itemprop=""address"">Jl. Golo No. 10 Pandeyan Umbulharjo</span>",1,4
Rene Hotel,"<span itemprop=""address"">Jl. P. Mangkubumi No. 57/59</span>",4,8
Hotel Bugis Asri Yogyakarta,"<span itemprop=""address"">Jl.Sugeng Jeroni 46, Yogyakarta</span>",8,8
Livinn Yogya Hotel,"<span itemprop=""address"">Jl. Babaran No 103, Warungboto, Umbulhajro, Yogyakarta, DI Yogyakarta, Indonesia</span>",3,9
Nginap Jogja at Apartemen Taman Melati,"<span itemprop=""address"">Jl. Jemb. Baru UGM Jl. Pogung Kidul, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,2
RedDoorz Syariah near Seturan Area,"<span itemprop=""address"">Jalan Utama No. 5a, Puyeran, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",3,12
OYO 206 Hotel Candra Kirana Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Jl. Parangtritis No.115-123, Brontokusuman, Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143, Indonesia, Yogyakarta</span>",12,12
Hotel Pramesthi Jogja,"<span itemprop=""address"">Jl Mangkuyudan No 44, Mantrijeron, Yogyakarta, Indonesia</span>",2,8
OYO 2627 Ratamya Co-living,"<span itemprop=""address"">Jalan Timoho II No.508, Semaki, Umbulharjo</span>",4,8
Hotel Bukit Uhud Yogyakarta,"<span itemprop=""address"">Jl. Sidokabul No. 15, Sorosutan, Umbulharjo, Yogyakarta, Indonesia</span>",6,24
OYO 3263 House 140,"<span itemprop=""address"">Jl. Maguwo No.140, Karang Janbe, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55198</span>",8,8
OYO 524 Makuta Hotel Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman 2 No.839, Brontokusuman, Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153, Indonesia, Yogyakarta</span>",20,20
Sofia Boutique Residence,"<span itemprop=""address"">Jl. Karya Utama, Sedan, Ngaglik, Sleman, Palagan, Yogyakarta, Indonesia</span>",3,3
OYO 465 Alam Citra Bed & Breakfast Near RSUD Bantul,"<span itemprop=""address"">Perumahan Alam Citra E 18-19, Cabean, Panggungharjo, Sewon, Bantul, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta</span>",8,8
Agenda Yogya,"<span itemprop=""address"">Jl. Bumijo Lor RT 23/06 No.1162, Bumijo, Jetis, Yogyakarta, Indonesia</span>",1,2
Hotel di Jogja,,0,0
OYO 244 Griya Cemara Homestay,"<span itemprop=""address"">Sambilegi kidul, Jl. Pisang, Sambelegi Lor, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",15,60
Ndalem Harmani,"<span itemprop=""address"">Jl. Mangunegaran Kidul No 16, Panembahan, Kraton, Yogyakarta, Indonesia</span>",1,2
Nginap Jogja at Malioboro City,"<span itemprop=""address"">Jl. Laksda Adisucipto KM.8, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,2
Modern House YIA,"<span itemprop=""address"">Ngringit, Palihan, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta, Indonesia</span>",1,1
Nginap Jogja at Apartemen Uttara,"<span itemprop=""address"">Jl. Kaliurang, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,2
OYO 952 Annisa Syariah Guest House,"<span itemprop=""address"">Gg. Wader No.150B, RT 06 RW 54, Sambilegi Lor, Maguwoharjo, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",2,2
The Cangkringan Jogja Villas & Spa,"<span itemprop=""address"">Jl. Raya Merapi Golf, Desa Umbul Harjo, Kaliurang, Cangkringan, Sleman, Provinsi Yogyakarta, Indonesia</span>",4,12
Hotel Paramitha,"<span itemprop=""address"">Jl. Affandi (Gejayan) | Kepuh GK III / 936, Sagan, Yogyakarta, Indonesia</span>",4,12
The Mulyo Guest House Syariah,"<span itemprop=""address"">Jl. Wonosari-Baron Km 3, Wunut No 8, Dunggubah, Duwot, Gunungkidul, Yogyakarta, Indonesia</span>",2,6
Budget Room at Homestay Cahaya Transport,"<span itemprop=""address"">Jalan Randubelang </span>",3,9
Larasati Guest House,"<span itemprop=""address"">Tamban Bayan XVI/15, Sleman-Yogyakarta</span>",2,6
M Stay Guest House by Westay,"<span itemprop=""address"">Jl. Pandega Mukti, Sinduadi, Mlati, Sleman</span>",4,12
Hotel Kili Suci By Simply Homy,"<span itemprop=""address"">Jl. Gambiran No. 55, Pandeyan, Umbulharjo, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",2,2
Hotel Talenta 3,"<span itemprop=""address"">Jl. Srikandi No. 7, Blimbingsari, Gondokusuman, Yogyakarta, Indonesia</span>",3,6
Omah 46 Syariah,"<span itemprop=""address"">Jl. Masjid 46 Puro Pakualaman</span>",3,6
OYO 895 Mahameru Residence Near RS Condong Catur,"<span itemprop=""address"">Jl. Mahameru No.3, Ngabean Wetan, Sinduharjo, Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",8,8
Omah Kaktus,"<span itemprop=""address"">Blunyah Gede 227 B RT 12 RW 34 Sinduadi Mlati Sleman</span>",2,4
Homey Room at BottleBottle House,"<span itemprop=""address"">Mrisi RT 01 RW 26, Tirtonirmolo, Kasihan, Bantul, Yogyakarta</span>",5,10
M Stay Guest House,"<span itemprop=""address"">Jl. Pandega Mukti No. 57 B, Purwosari, Sinduadi, Mlati, Sleman, Yogyakarta</span>",4,12
Sewu Padi Hotel,"<span itemprop=""address"">JL Kaliurang, Km. 20 Kab. Sleman</span>",3,3
Hotel Srikandi Gejayan,"<span itemprop=""address"">Jl. Tantular 101, Depok, Condong Catur, Sleman, Yogyakarta, Indonesia</span>",1,3
Ruba Grha,"<span itemprop=""address"">Jalan Mangkuyudan No. 1 </span>",2,2
Hotel Cahaya Kasih,"<span itemprop=""address"">Jl. Malioboro, Sosromenduran GT.I/280, Malioboro, Yogyakarta, Indonesia</span>",1,1
Aloha Hotel,"<span itemprop=""address"">Jl. Prawirotaman MG III / 573 B, Prawirotaman, Yogyakarta, Indonesia</span>",1,3
WM Apartment Yogyakarta,"<span itemprop=""address"">Jl. Laksa Adi Sucipto Km. 8, Tambakbayan, Caturtunggal, Depok</span>",2,4
The Cabin Purwokinanti Hotel,"<span itemprop=""address"">Jl. Juminahan 48, RT 28 RW 06, Kel. Purwokinanti, Kec. Pakualaman, Yogyakarta, Indonesia</span>",2,6
Homestay Tembi,"<span itemprop=""address"">Jalan Parangtritis KM 8,5, Tembi Timbulharjo, Sewon Bantul</span>",4,12
Cozy Room in Jalan Kaliurang at Wisma Bu Yanti 2,"<span itemprop=""address"">Jalan Mindi No 1 / Jalan Kaliurang KM 12,5</span>",2,4
Dasinem Family Homestay,"<span itemprop=""address"">Pogung Dalangan No.1A RT.011/RW.050 Sinduadai, Mlati</span>",2,6
Backpack Room at Grapyak Homestay Syariah,"<span itemprop=""address"">Jl. Nitipuran RT 008 No.311c, Kasihan Bantul, Ngestiharjo, Kasihan, Kota Yogyakarta, Daerah Istimewa Yogyakarta </span>",1,4
Hotel di Jogja,,0,0
"Sambi Resort, Spa & Restaurant","<span itemprop=""address"">Jl. Kaliurang KM 19, Desa Wisata Sambi, Pakem, Kaliurang, Sleman, Yogyakarta, Indonesia</span>",1,2
Rumah Mertua Heritage Yogyakarta,"<span itemprop=""address"">Jalan Palagan Tentara Pelajar, Gang Padma No.5, Tegalwaras, Sariharjo, Ngaglik, Sleman</span>",3,3
Rumah Mertua Heritage,"<span itemprop=""address"">Jl. Palagan Tentara Pelajar, Gang Padma No. 5, Ngaglik, Sleman, Yogyakarta, Indonesia</span>",4,8
D Classic Homestay,"<span itemprop=""address"">Gedongkiwo MJ1/779, RT 44 RW 09, Mantrijeron, Yogyakarta, Indonesia</span>",3,6
Backpacker Pelangi Guesthouse Syariah Terban Tugu Yogyakarta,"<span itemprop=""address"">Terban GK 5/518 A. RT 17/04 Turban, Gondokusuman</span>",3,9
AGV Apartment Yogyakarta,"<span itemprop=""address"">Jl. Amarto, Puluhdadi Seturan, Sleman</span>",1,3
Villa Alifa,"<span itemprop=""address"">Jalan Pakem-Turi km 0.5, Desa Sempol, Pakem</span>",1,2
Harmony Inn Yogyakarta,"<span itemprop=""address"">Jl. Parangtritis Gang Sartono, Mantrijeron</span>",1,1
Sahabat Home Jogja @ Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman 2 (Jalan Gerilya) No.829-830 </span>",2,2
Alamanda Familie Villas,"<span itemprop=""address"">Jl. Taman Alamanda D7</span>",0,0
The Phoenix Hotel Yogyakarta - MGallery Collection,"<span itemprop=""address"">Jl Jenderal Sudirman 9</span>",10,10
Hotel Mataram Malioboro,"<span itemprop=""address"">Jl. Pasar Kembang No.61, Yogyakarta</span>",9,27
The Jayakarta Yogyakarta Hotel & Spa,"<span itemprop=""address"">Jl. Laksda Adisucipto Km.8, Yogyakarta</span>",18,18
Agung Mas Hotel Malioboro,"<span itemprop=""address"">Jalan HOS Cokroaminoto 108</span>",4,16
Hotel Bhinneka Malioboro,"<span itemprop=""address"">Jl. Margo Utomo 38, Gedongtengen, Yogyakarta, DI Yogyakarta, Indonesia</span>",2,2
OYO 647 Irooms Homestay,"<span itemprop=""address"">Candi Winangun, Sardonoharjo No. 10, Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Sleman</span>",4,4
Apartment Bintang Tiga,"<span itemprop=""address"">Apartment Malioboro City, Jalan Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Depok, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman</span>",1,2
Hotel Al-Barokah Yogyakarta,"<span itemprop=""address"">Jl. Balirejo No. 27 Timoho Muja Muju, Umbulharjo, DI Yogyakarta, Indonesia</span>",1,3
Pelemsewu Cottage Syariah,"<span itemprop=""address"">Jalan Parangtritis KM 4.5 Pelemsewu Rw.07, Panggungharjo, Sewon</span>",3,3
Sriwedari Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto KM 6 No.06, Adisucipto Airport, Yogyakarta, Indonesia</span>",1,3
Hotel Purnama IV Yogyakarta,"<span itemprop=""address"">Jalan Sawit L-6 (Sawitsari Blok L-6), Condongcatur</span>",6,24
Hotel Cepuri,"<span itemprop=""address"">Jl. Prawirotaman II No. 839, Yogyakarta</span>",3,6
Rajaklana Resort Villa And Spa,"<span itemprop=""address"">Jl. Tugu Gentong, Sambikerep, Bangunjiwo, Kasihan, Bantul, Yogyakarta, Indonesia</span>",4,12
Nextdoor Homestay,"<span itemprop=""address"">Jl. Parangtritis, Timuran No.140, Brontokusuman, Mergangsan, Daerah Istimewa Yogyakarta, Indonesia</span>",6,24
Happy Buddha Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman No. 21, Mergangsan, Yogyakarta, DI Yogyakarta, Indonesia</span>",1,4
Backpacker Omah Warno Syariah near Tugu,"<span itemprop=""address"">Jl. Bangirejo Taman, Karangwaru, Kec. Tegalrejo</span>",4,12
Hotel Graha Kinasih Kota Baru,"<span itemprop=""address"">Jl. Ungaran 1 / Jl. Serma Taruna Ramli No.1, Kota Baru, Yogyakarta</span>",1,2
Anjuma Backpacker,"<span itemprop=""address"">Jl. Tegal Lempuyangan DN III / 23, Bausasran, Danurejan, Yogyakarta, Indonesia</span>",6,18
Arkananta Villa,"<span itemprop=""address"">Jl. Tirtodipuran No. 49, Mantrijeron, Yogyakarta, Indonesia</span>",1,2
Fortuna Jogja Guest House,"<span itemprop=""address"">Jl. Pugeran Timur No. 22, Suryodiningratan, Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",2,6
Hotel di Jogja,,0,0
Simply Homy Villa Prambanan,"<span itemprop=""address"">Keniten, Tamanmartani, Kec. Kalasan, Kabupaten Sleman, Kalasan, Sleman, Provinsi Yogyakarta, Indonesia</span>",1,2
The Packer Lodge Yogyakarta,"<span itemprop=""address"">Jl. Dagen No 3, Sosromeduran</span>",4,4
Hotel Galuh Anindita,"<span itemprop=""address"">Jl. Candrakirana  No.10 Sagan </span>",3,9
Tegal Panggung Guest House,"<span itemprop=""address"">Jl. Tegal Panggung No. 39, Danurejan, Yogyakarta, DI Yogyakarta, Indonesia</span>",2,4
Hotel Puri Artha Yogyakarta,"<span itemprop=""address"">Jl. Cendrawasih No. 36, Demangan,Yogyakarta, Indonesia</span>",1,2
Queen Star Hotel,"<span itemprop=""address"">Jalan Wates Km 9, Kulon Progo</span>",2,2
"Student Castle Apartment Yogyakarta, Studio Room B0807","<span itemprop=""address"">Jl. Terusan Babarsari, Kel Caturtunggal, Kec Depok</span>",1,2
Karana House Syariah Yogyakarta,"<span itemprop=""address"">RT06 RW27, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia</span>",12,12
Hotel Diana Jogja,"<span itemprop=""address"">Jl. Tirtodipuran No. 9, Mantrijeron, Mantrijeron, Yogyakarta, Indonesia</span>",2,2
BOAX 12 Studio Room at Vivo Apartment,"<span itemprop=""address"">Jl. Seturan, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta </span>",1,2
Kayu Watu Cottage,"<span itemprop=""address"">Pantai, Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta </span>",1,3
Jaya Wonosari,"<span itemprop=""address"">Jalan Bhayangkara, Trimulyo II, 001/002, Kepek, Wonosari </span>",1,1
4 bedrooms at Villa Rukun Jogja,"<span itemprop=""address"">Klinyo RT 2 RW 1 Margoluwih Seyegan Sleman Yogyakarta</span>",1,2
Apartment Taman Melati Sinduadi by Nginap,"<span itemprop=""address"">Jl. Jem. Baru UGM, Pogung Kidul, Sinduadi, Sleman</span>",2,6
Yabbiekayu Eco-Bungalows,"<span itemprop=""address"">Tembi Village, RT 06 RW 04 Timbulharjo Sewon Bantul</span>",3,9
D Omah Hotel Jogjakarta,"<span itemprop=""address"">Jl. Parangtritis KM 8.5 Timbulharjo, Bantul, Yogyakarta, Indonesia</span>",2,6
Wisma Ary's Hotel,"<span itemprop=""address"">Jl. Suryodiningratan No.29, Prawirotaman, Mantrijeron, Yogyakarta, Indonesia</span>",2,2
Penginapan Cipto Wening,"<span itemprop=""address"">Jl. Kaliurang No.24, Ngipiksari, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",8,8
Gubuk Asmoro Nglolang,"<span itemprop=""address"">Jl. Pantai Sepanjang, Ngalos, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Yogyakarta, Indonesia</span>",8,8
Renaya Ndalem Guesthouse,"<span itemprop=""address"">Jl. Kradenan No. 10/69, Maguwoharjo, Depok, Sleman, Yogyakarta, Indonesia</span>",1,2
